"","id","p.val","p.val.adj","signif","group1","group2","week","Metabolite"
"1","pos_949",1.0867883795468e-05,7.60751865682761e-05,"****","5wk_tg/tg","5wk_fl/fl","5wk","C20 hydroxy fatty acid"
"2","neg_382",0.19768664999166,0.345951637485404,"ns","5wk_tg/tg","5wk_fl/fl","5wk","FA 20:3"
"3","neg_461",0.677187935992015,0.816371009230074,"ns","5wk_tg/tg","5wk_fl/fl","5wk","FA 22:6"
"4","neg_474",0.0355957473955671,0.08305674392299,"ns","5wk_tg/tg","5wk_fl/fl","5wk","FA 22:5.2"
"5","neg_477",0.0343712391754703,0.08305674392299,"ns","5wk_tg/tg","5wk_fl/fl","5wk","FA 22:4.1"
"6","neg_553",0.816371009230074,0.816371009230074,"ns","5wk_tg/tg","5wk_fl/fl","5wk","FA 24:6"
"7","neg_561",0.753269315786523,0.816371009230074,"ns","5wk_tg/tg","5wk_fl/fl","5wk","FA 24:5"
"8","pos_949",1.24633106990656e-06,8.72431748934589e-06,"****","12wk_tg/tg","12wk_fl/fl","12wk","C20 hydroxy fatty acid"
"9","neg_382",0.00666394915250019,0.0116619110168753,"*","12wk_tg/tg","12wk_fl/fl","12wk","FA 20:3"
"10","neg_461",0.0583134650940508,0.0583134650940508,"ns","12wk_tg/tg","12wk_fl/fl","12wk","FA 22:6"
"11","neg_474",0.00965162659575446,0.013357008777891,"*","12wk_tg/tg","12wk_fl/fl","12wk","FA 22:5.2"
"12","neg_477",0.00149206682624105,0.00522223389184367,"**","12wk_tg/tg","12wk_fl/fl","12wk","FA 22:4.1"
"13","neg_553",0.0114488646667637,0.013357008777891,"*","12wk_tg/tg","12wk_fl/fl","12wk","FA 24:6"
"14","neg_561",0.00627205687984423,0.0116619110168753,"*","12wk_tg/tg","12wk_fl/fl","12wk","FA 24:5"
"15","pos_949",5.39261252311645e-06,3.77482876618151e-05,"****","20wk_tg/tg","20wk_fl/fl","20wk","C20 hydroxy fatty acid"
"16","neg_382",0.0021380374472238,0.00374156553264164,"**","20wk_tg/tg","20wk_fl/fl","20wk","FA 20:3"
"17","neg_461",0.0194211029480701,0.0226579534394152,"*","20wk_tg/tg","20wk_fl/fl","20wk","FA 22:6"
"18","neg_474",0.000225018936932973,0.000550962652340888,"***","20wk_tg/tg","20wk_fl/fl","20wk","FA 22:5.2"
"19","neg_477",0.000236126851003238,0.000550962652340888,"***","20wk_tg/tg","20wk_fl/fl","20wk","FA 22:4.1"
"20","neg_553",0.00351754637059071,0.004924564918827,"**","20wk_tg/tg","20wk_fl/fl","20wk","FA 24:6"
"21","neg_561",0.0297940745675276,0.0297940745675276,"*","20wk_tg/tg","20wk_fl/fl","20wk","FA 24:5"
