"","FC","log2FoldChange","p","padj","Metabolite","significant"
"pos_949",6.69592656514683,2.74328370580351,6.12751161114653e-08,3.15566847974046e-05,"C20 hydroxy fatty acid","Significant"
"neg_303",0.557240550538139,-0.843627847839039,0.282072109464573,0.492430970760187,"FA 18:4","Nonsignificant"
"neg_305",0.579297578354318,-0.787623460783077,0.276025906217222,0.483208079092285,"FA 18:3","Nonsignificant"
"neg_307",1.01148272400443,0.0164716790598369,0.965551003511589,0.984670825363304,"FA 18:2","Nonsignificant"
"neg_312",4.33046651513734,2.11452245285525,0.00205249211397086,0.0209728856883927,"FA 18:0","Significant"
"neg_361",3.47789714496675,1.79821526713542,0.00341537255514181,0.0289482552513099,"10-hydroxystearic acid","Significant"
"neg_370",0.99818242900037,-0.00262458657705178,0.995876542291884,0.997425941813147,"FA 20:5","Nonsignificant"
"neg_376",1.55787955354228,0.63958369667016,0.331772895164466,0.544149812132803,"FA 20:4","Nonsignificant"
"neg_382",3.2314296181156,1.69217256945853,0.000873819429171889,0.0113069599503398,"FA 20:3","Significant"
"neg_383",1.89385948156919,0.921329291332233,0.173990361035592,0.361310628763426,"FA 20:3","Nonsignificant"
"neg_391",3.16508777461293,1.66224550920903,0.0225078391969025,0.10144784966484,"FA 20:2","Nonsignificant"
"neg_409",1.75747326060313,0.813502739318451,0.0401521499696801,0.143999702189312,"FA 20:0","Nonsignificant"
"neg_461",3.65726969326132,1.87076701737778,0.008089987290008,0.0514363389426434,"FA 22:6","Significant"
"neg_472",0.748171464832076,-0.418559152161291,0.193983986425537,0.386437261979493,"FA 22:5","Nonsignificant"
"neg_473",1.5383621286213,0.621395151980017,0.299130539837001,0.512150619189007,"FA 22:5","Nonsignificant"
"neg_474",5.70266905393921,2.51163731043958,0.000763695764681896,0.0103500873371362,"FA 22:5","Significant"
"neg_476",1.04274215535378,0.0603824587389932,0.902776351330249,0.952334741776072,"FA 22:4","Nonsignificant"
"neg_477",8.44669908289891,3.07838765534356,2.87415448808229e-05,0.00143881714642485,"FA 22:4","Significant"
"neg_478",3.70925016632163,1.89112757211178,0.000206114666193716,0.00431500215812048,"FA 22:4","Significant"
"neg_487",3.685535078175,1.88187408976523,0.0034669249163429,0.0291742864692254,"FA 22:3","Significant"
"neg_507",1.77252290605236,0.82580427132071,0.00467640765134836,0.0355717811004523,"FA 22:0","Significant"
"neg_553",4.47451996909596,2.16173291693522,4.89636088189042e-05,0.0019169347316916,"FA 24:6","Significant"
"neg_561",3.68408721823255,1.88130721664698,0.00824557455246154,0.052167947107097,"FA 24:5","Significant"
"neg_564",0.737116141375069,-0.440036143972853,0.590433377042318,0.765156490127816,"FA 24:4","Nonsignificant"
"neg_585",2.13701676169207,1.09559822382139,0.288691794987884,0.500930843728976,"FA 24:1","Nonsignificant"
"neg_586",3.83895447780605,1.94071345285669,2.39077864054705e-05,0.00139914886350197,"FA 24:1","Significant"
"neg_587",0.992299989104906,-0.0111517571713033,0.965990559838073,0.984729094055042,"FA 24:1","Nonsignificant"
"neg_594",1.54516583615578,0.627761684835273,0.363260099136303,0.574214091636575,"FA 24:0","Nonsignificant"
"neg_595",2.39898767295308,1.26242574445288,0.098945846379416,0.251515848397824,"FA 24:0","Nonsignificant"
"neg_596",4.06866587454864,2.02455580881561,0.120677189175756,0.28996865417415,"FA 24:0","Nonsignificant"
"neg_826",1.08159687300439,0.113162885775281,0.712354483990443,0.844363016546817,"FA 28:7","Nonsignificant"
"neg_938",2.84881318591248,1.51036101843455,0.00267217326362756,0.0246625310173511,"FA 30:8","Significant"
"neg_939",2.55470214127474,1.35315509376335,0.00881797176415277,0.0543212375423287,"FA 30:8","Significant"
"neg_941",0.215373502238108,-2.21508733126902,0.00251497663796743,0.0236624166017224,"FA 30:8","Significant"
"neg_950",0.7960383503329,-0.329090158462257,0.452974677520253,0.653817149447675,"FA 30:7","Nonsignificant"
"neg_979",0.810084565330659,-0.303855575019715,0.316717110708624,0.53012257794316,"w/o MS2:FA 30:5","Nonsignificant"
"neg_1109",1.1390955798815,0.187888806603267,0.555961788490885,0.737593793512228,"FA 32:8","Nonsignificant"
"neg_1219",0.635184108109839,-0.654753277239512,0.550045465428792,0.732351123825822,"FA 32:1","Nonsignificant"
"neg_1391",0.837526671936959,-0.255792959523959,0.818933788528608,0.904278794685318,"FA 34:1","Nonsignificant"
"neg_1501",3.17741912195315,1.6678554033287,0.0865334964807651,0.231866548842841,"FA 35:0","Nonsignificant"
"neg_1672",1.2516465093268,0.323827173094211,0.810379386722738,0.900400649403518,"FA 37:0","Nonsignificant"
"neg_1743",6.12336273906375,2.61432414877,0.000892830524972963,0.0114380029940566,"FA 38:4","Significant"
"neg_1858",0.980565972868276,-0.0283133961089055,0.975411203709825,0.98729711067327,"FA 40:8","Nonsignificant"
"neg_2130",3.01521806116363,1.59226234188764,0.00858569652504457,0.0532726953059995,"w/o MS2:FA 44:11","Significant"
