"","CC_AV521","CC_AV527","CC_AV541","CC_AV542","CC_AV543","CC_AV555","CC_AV567","CC_AV570","CC_AV571","CC_AV572","CC_AV579","CC_AV580","CC_AV583","CC_AV584","CC_AV586","CC_AV587","CC_AV588","CC_AV589","CC_AV590","CC_AV591","CC_AV596","CC_AV597","CC_AV598","CC_AV604","CC_AV608","CC_AV609","CC_AV610","CC_AV611","CC_AV612","CC_AV650","CC_AV717","CC_AV718","CC_AV770","CC_AV782","CC_AV791","CC_AV794","CC_AV802","CC_AV803","CC_AV814","CC_AV816","CC_AV817","CC_AV833","CC_AV863","CC_AV864","CC_AV865","CC_AV866","CC_AV967","CC_AV968","CC_AV971","CC_AV972","CC_AV974","CC_AV996"
"pos_0",9.33163698216542,9.42702408972877,8.93036360220234,8.92274608095408,11.7327281503589,11.4265394791153,8.39714299754831,8.42907954323519,8.41654626928571,10.4656705598485,9.38340292346953,9.45816702277119,9.87160683155278,8.66851469758879,6.68213781086895,9.66839454590329,8.3164630324664,7.01099447401874,9.72553038530087,8.43673099785094,6.64373773391557,7.02072211361665,8.32690904097961,8.88411048558514,9.23810418582384,9.05764430888634,8.78506148331696,9.02011348719715,10.8542253784793,8.57977217218517,10.1529644168641,11.1525341608178,9.45602175269119,9.22184104993782,10.7276833273945,10.7991304389252,8.1759992006355,9.25549156418155,9.96117329230719,8.56133352554415,11.110832603809,9.21139688909623,10.0883615512178,10.6933283714182,7.01254578047247,9.11443566793856,8.15107091015948,10.0961448661493,9.77895332490376,9.00394423129173,8.67309929178238,9.56494723496328
"pos_1",7.95123629317279,5.13192713969312,6.94274973693659,8.48076543261377,7.39287814747429,8.2697502358111,5.76891534290543,6.473324124223,7.77733640118113,6.47919728226593,6.78017603521457,4.63805585245894,6.56801832736835,7.83908994244631,4.64714238951274,4.84508658343679,2.39701353238352,5.59252547584665,7.50825937652624,7.07648129699762,5.60977457611325,7.65402732600521,5.78261548371161,6.3336769834143,3.57605209791887,6.07710858406859,5.84196704957985,5.76265366630503,7.61145853390818,8.09392220524334,6.03222714574093,6.5894104126326,5.19510824873616,7.99083892506469,5.66114230061653,7.39591263137247,6.30293684555987,7.87501009837539,4.98332400310073,4.7969732707604,7.48631583098907,5.58330623884571,7.73441256133839,7.57492547862827,4.21036119619415,5.33527522075036,6.3146455424682,7.71153933422503,4.07135285472016,5.93361591691415,4.57629406106435,6.45992983509377
"pos_3",2.71574676186342,5.56079003886709,6.94274973693659,7.38267658997718,6.88894759860504,8.39507095036004,5.47047560094044,6.61247529174925,6.68276476237841,7.18661314896071,6.13826928727509,6.16217279795957,7.14343257568791,6.75595458371624,6.96293890022871,6.07686411583751,11.4997422150106,5.17131154636318,6.76440739677479,7.34250734551469,5.07464008080117,7.18805732970235,5.19079594210747,5.59004325899745,4.63049988194125,6.06918892077235,6.5874939100583,4.97952908267391,6.85909690640374,6.91529537577532,6.52543002701942,6.17301763374175,5.81779837069219,8.03905432462626,7.1225811216029,7.48363982352431,6.19642660867504,7.52607219684487,5.74443929350835,3.86926213156728,6.28060215079925,6.89902453918443,7.30324643588533,6.69876576830639,5.39015400882421,6.57165187152251,8.06796269400525,6.80899825694768,5.49004290788905,8.2769101257703,6.26610568101123,6.24155047626395
"pos_4",3.96001519053081,6.47225981496191,7.35638859816028,9.44867414875142,8.43940327909744,9.10508258372294,7.44219764661338,7.50422240109723,8.41547139586325,6.93994582937522,8.59986386739833,6.10189123478176,8.44110621488614,9.55721019554681,6.09658585353453,6.86809269896489,7.43494298801584,6.13506016875318,9.1666415164642,8.59340005696628,6.98014944601133,7.58408474974804,5.54742850779869,7.40352312792545,3.88460116300504,7.47543098967268,5.78727640804644,4.07352657268339,7.31446966220155,9.5023319753366,7.86207354004869,6.04847253580345,7.1339489372539,8.83943272655612,6.73711913027022,7.67310948923636,7.99739005812385,8.71301672896306,6.60866673475395,3.36856854774373,7.22366481475118,5.04799402824161,9.02772046250551,8.127230962117,6.79170640699463,6.7782482754792,7.97917427207873,8.56883831736647,4.35359564036099,8.47757031334387,5.88362404487881,7.44027743529984
"pos_6",1.91031928837693,2.48171129030648,1.50575857564143,3.19918188999079,3.1972138252331,3.76311097010172,3.68902254232559,2.84748934208631,4.79115973214824,3.54738905445308,3.986626912682,3.52385479172627,3.84214656308573,4.99628445941648,3.81133102140591,3.94185301143636,4.58780971216066,3.90452500566828,2.50450724166513,2.40984062613179,3.90865418089376,5.69907122019827,2.29699993327066,4.85052929580319,0.723609286332731,3.95921607874722,3.11861682727115,2.58721165989515,4.18924550809607,6.2566347771089,4.97834192559423,2.28766019968287,2.94092476048464,5.62250036522037,4.62383986243481,5.10703009821235,3.21892523291428,2.99984352091418,2.95366725564635,0.983904697508401,5.14265635388801,3.93219140311963,2.48834470477438,3.30520731745894,2.76530871693002,2.61280919627927,4.41893807484684,3.90594534754141,4.90526908107661,6.60290589354021,4.14197911949619,4.09842553416535
"pos_7",3.9729833231591,3.0565900102986,1.64424052943286,4.25032073898259,4.76188492196118,6.35363605842812,3.76891534290543,4.4448355672633,2.96579173626808,3.49100658455556,5.17987298835893,4.27073585475756,7.54875560874171,5.80931370556736,3.98444571028702,3.84508658343679,3.4549608815928,2.92371857090159,3.93746664894124,4.04779621446683,4.28443987978263,4.08470780303656,3.31015130092197,3.91445168717202,8.20832031341839,4.30100459599543,2.02383860251905,7.70972730095104,4.83961789846352,6.37141385996845,5.44021402478557,4.14010301126901,3.44575893011412,5.19818505235352,2.28954252151281,2.19876616119513,4.14741926793859,2.36013805559859,3.67546053818831,1.9839046975084,4.398373609425,3.84049156898282,3.1293732679163,4.81128184678711,3.85122774311502,3.41530655468757,4.94709737054749,3.76816804164037,3.361042892555,4.88408764608426,4.03562713832386,3.85123540639634
"pos_8",5.10843151629048,3.16247228294676,0.882612881032386,2.85665689049631,3.4242044816682,4.24580541948382,4.18030506516913,2.00073560238199,1.25828574257554,3.70441022266476,4.20695686756155,3.86663620196361,5.24457080628379,6.60509370209201,3.37116892797145,3.15770851610247,4.34891924418247,2.40095083178778,3.10541128625531,3.18744820479535,3.54861071343485,2.46973273324896,2.51712574763516,4.13466382240378,9.19291192523734,3.88596709671658,2.02383860251905,6.71649467684011,3.63080388362761,6.08330317422334,5.11531436336692,2.28766019968287,4.1821025389114,3.88784493174137,2.0932629404955,1.81095013065131,4.34956300543123,3.91014071796594,3.23872796781015,2.45783588584081,2.54547790345721,5.34511196138637,2.40528896504682,5.42001584655131,3.89683833963532,3.04890831108595,4.25722689411659,2.17716915118855,2.2899931411955,5.358867229055,3.44117318862541,4.75344951479538
"pos_9",-0.583220184580628,3.32491518567253,0.259848347598846,4.13842785891169,4.20925307485602,5.86121279058689,2.43723927146651,3.09803280373691,3.01657984618226,4.28334893575814,5.23354165315251,3.19985236860105,2.81373814789998,6.98755216705332,3.20173124119038,2.95548487702412,1.13870153679212,2.96753480319408,3.26295256324179,3.98988763643883,3.15983886884981,1.84524186834117,2.85529448352974,3.51659534765567,5.08701401719625,1.54893210943901,3.57273184853268,2.97715817821116,2.86329689493303,8.06787313365373,5.93385653974573,3.76159138801528,2.53029244032579,4.93886893476584,2.6007020707146,1.91497319519454,6.27435453002713,4.14800454806483,1.16396019940817,1.9839046975084,3.67223504574315,4.54646947066534,2.74632588288189,5.99491065086227,1.52310781451339,3.15761457052845,4.43996558128666,3.43034023407528,0.955875637300221,7.87121230099264,0.673732636118852,3.4031396185382
"pos_13",13.05692364907,8.75123576466472,8.54004427338633,10.7372607945846,8.46901589657975,10.248420496756,10.6697618262281,10.1922443902089,10.5024724279298,9.53571746646681,11.1283253613177,9.14194489755866,10.7601127981989,10.451356538675,9.41438099479275,9.59879825809831,10.6275261975633,9.44150067127892,11.6198977560567,10.7801721853598,8.43845596952508,9.79782135121276,8.56680308780042,10.2581374470386,13.2267862839564,10.758539381692,10.2970010368073,9.67750662986221,9.55642722717745,11.7648281997138,8.33683386166614,13.5803013733489,10.4789920408924,12.2802310526483,8.95586555282125,9.08803108612182,10.2570906931415,11.3645680574811,10.3827681555653,10.4399167956046,11.8934381741499,9.38274961874974,11.7799742778489,11.5040369277079,10.7945206381465,9.78491309547694,9.74174846211165,11.3816633988654,8.95594394510738,11.3919794263438,9.9552068866839,9.00088388345861
"pos_14",7.7849416155579,5.95633136252014,5.60111623270167,7.0734819849976,5.4216197780072,8.28521828213398,6.98138511670023,5.93275574286029,8.16492051851127,6.54864521042351,6.841619929439,6.20244481321758,7.10207992978947,8.63874702936488,8.34733437088996,6.28373069566796,7.66349288793068,7.76705167192837,5.9704817061692,6.90234785760797,7.31021429425434,9.41562468115117,7.20230427798723,9.92787617440703,6.42866563254419,7.14712176933216,6.90799027383253,7.08127409056301,7.49150079642641,9.13398805000138,9.67711828357995,8.33326819798622,7.27886712122308,7.52568699206547,7.25913883728467,8.58061807373455,7.13841101222879,7.32177161580154,7.1632405909266,7.03556681733089,7.53671049896737,6.24307732721541,6.83080794819399,6.70165735561261,6.3081295500241,6.22855782242008,8.79581943169971,8.95778629197267,8.40002464401156,8.37011420865116,8.46705281240271,7.6282592524843
