"","D29668_01-AV967","D29669_02-AV968","D29670_03-AV971","D29671_04-AV972","D29672_05-AV974","D29673_06-AV996","D29675_08-AV583","D29676_09-AV584","D29677_10-AV587","D29678_11-AV588","D29679_12-AV596","D29680_13-AV597","D29683_16-AV816","D29684_17-AV817","D29685_18-AV863","D29686_19-AV864","D29691_24-AV580","D29692_25-AV608","D29699_32-AV572","D29700_33-AV586","D29701_34-AV589","D29702_35-AV590","D29703_36-AV591","D29704_37-AV598","D29707_40-AV521","D29708_41-AV527","D29709_42-AV541","D29710_43-AV542","D29711_44-AV543","D29712_45-AV571","D29715_48-AV551T","D29716_49-AV555T","D29717_50-AV555TA","D29718_51-AV612T","D29719_52-AV612TA","D29720_53-AV650T","D29721_54-AV650TA","D29722_55-AV717T","D29723_56-AV718T","D29733_66-AV604T","D29734_67-AV770T","D29735_68-AV791T","D29736_69-AV782.2T","D29737_70-AV794T","D29738_71-AV604TA","D29739_72-AV770TA","D29740_73-AV791TA","D29741_74-AV782.2TA","D29742_75-AV794TA","D29743_76-AV833T","D29746_79-AV567","D29747_80-AV568","D29748_81-AV570","D29749_82-AV579","D29750_83-AV814","D29751_84-AV803","D29752_85-AV865","D29753_86-AV866","D29758_91-AV609","D29759_92-AV610","D29760_93-AV611","D29761_94-AV802"
"D29668_01-AV967",0,0.35152140576077,0.499761493762046,0.409559810084379,0.361635739509034,0.476985628461134,0.493985536763151,0.422931504641435,0.415534226752617,0.455438475258199,0.47639604995838,0.495910617988371,0.447343343153141,0.41946687167419,0.465367597825928,0.468642592720662,0.532497484109444,0.50680748843198,0.531542193586891,0.546229150616415,0.524657649437915,0.522096275705897,0.521559445647153,0.492030429976821,0.492390159037381,0.452744184201006,0.476684896131855,0.469840516043815,0.462544227892298,0.488531461805951,0.576375511726436,0.642689314721887,0.549946381900999,0.658443298829169,0.592309656005771,0.500242258080188,0.455846042068819,0.561418289075908,0.615945418992582,0.586344607325674,0.477149331399759,0.433581948206852,0.467465905651843,0.396272956988051,0.572768277484121,0.425254592505677,0.42360216948231,0.47353047544054,0.401522130632053,0.50414572704102,0.535853663579987,0.481336171227974,0.51653523630276,0.522267143978306,0.488694676283597,0.471801149235428,0.487953497536474,0.462421753213227,0.54174245150641,0.533552681922153,0.505568488864592,0.535914515627866
"D29669_02-AV968",0.35152140576077,0,0.402094055202703,0.428586495345552,0.319205140958495,0.451452253093688,0.510399902414595,0.445655225265715,0.410167553645928,0.448422842129435,0.470851119429593,0.528514290826946,0.400535153718987,0.416691042784069,0.432646370826044,0.499085881087884,0.503181499299171,0.4953325167449,0.518731524813741,0.556973617879375,0.522780344564329,0.484617737719981,0.496794692884053,0.489118503228608,0.512226585685773,0.472857201385377,0.490771431222162,0.448715185654065,0.485081484043053,0.48732436697371,0.583064843977356,0.63272931475433,0.544644793257436,0.676666232082967,0.595705609565422,0.546156914178705,0.482273441915241,0.529380756434331,0.622166174287078,0.597664496111983,0.506349556905367,0.491768935655707,0.48870970934558,0.391072700663805,0.590778922240189,0.491269154468734,0.485416719597658,0.496171078157383,0.408228565177443,0.528147805964368,0.527418748992745,0.483356803622982,0.5385692955355,0.478534862982276,0.418672222884693,0.439686139104923,0.511715651188496,0.450271650580423,0.537054708246975,0.523718616229608,0.489240631463219,0.538081978854066
"D29670_03-AV971",0.499761493762046,0.402094055202703,0,0.482940565987382,0.395273137247868,0.487431182691128,0.598377808638914,0.547150104779926,0.49223941226253,0.532051520431708,0.543462590220635,0.591460937146116,0.513629330543488,0.542508316295477,0.520649450930762,0.576165559103358,0.552008331941891,0.532555868110382,0.587641155067634,0.620324878655588,0.588394884865879,0.526751610453562,0.579305988179286,0.57688107594546,0.61108825660134,0.553985755867246,0.567078967848231,0.532526651217978,0.5525826786203,0.55854790778402,0.621778495002825,0.64391015421647,0.571202303147426,0.684657609420022,0.638443834720953,0.601878669530282,0.54664224055197,0.51788010946975,0.634700592095349,0.637026964245231,0.60412769350703,0.593907921226936,0.592482495131748,0.539104290833197,0.629014748618857,0.57750457081212,0.576997942522037,0.595317488311008,0.53892807394275,0.546631647407609,0.599584597550266,0.555419910474171,0.616763536612843,0.500813870109844,0.523495397754866,0.526596937751775,0.563088322790754,0.54418608377912,0.573885208333865,0.580457889545224,0.540096968196306,0.610888050141637
"D29671_04-AV972",0.409559810084379,0.428586495345552,0.482940565987382,0,0.37555546281704,0.483105492745665,0.531236542485687,0.403292773948891,0.332113201445214,0.377683356832008,0.411541286735321,0.431389992506681,0.490994166005549,0.43125461434008,0.495124896607566,0.448630800199673,0.535935524306223,0.507130664291388,0.457875035359249,0.470143221476955,0.463733314774113,0.455882902080994,0.519577571205159,0.467621105750904,0.442979364201385,0.402439521016223,0.351933155238041,0.435064610912698,0.392724545377635,0.422881578139376,0.545060965923994,0.594671218609656,0.489043228839567,0.55788173061966,0.473348014892172,0.428620996944415,0.394036520602166,0.480830989452987,0.590214191172306,0.497132076688055,0.399838956648817,0.439399807117732,0.37432990738032,0.43027289456651,0.48280707966903,0.387009378133323,0.426178455971978,0.363023682951212,0.451196547679876,0.419949537630956,0.450186753808574,0.396312682319993,0.460783673403826,0.519670125305342,0.477600896609075,0.397720985762321,0.404534757447538,0.444437497257808,0.505678039019149,0.446194874461733,0.442652179861012,0.426556715527699
"D29672_05-AV974",0.361635739509034,0.319205140958495,0.395273137247868,0.37555546281704,0,0.397916835062105,0.500459433272174,0.42270543402782,0.421412519419265,0.427348617751267,0.445446410227632,0.518122539667564,0.421392626290908,0.428906318600069,0.430254163828926,0.492546541594363,0.479556582798723,0.479932389065141,0.503578839137204,0.5379103611184,0.500043271651855,0.473302081120078,0.486935024495187,0.453118214041913,0.511203730821495,0.455228995960735,0.487781957515743,0.449844381132551,0.457926530076407,0.469874218352256,0.587002400183755,0.626098336505471,0.546120260961235,0.646911163861082,0.580548901544969,0.517470952245811,0.455817191535749,0.495032788025475,0.634634505148693,0.590306987023197,0.504351640044308,0.506272060270228,0.498069147669085,0.426888398067525,0.57360324321957,0.468021195344308,0.488366025805071,0.495934031577863,0.408091624101781,0.496267950071874,0.510944619074499,0.464400720178563,0.553365722766482,0.454850336511322,0.450795628290643,0.420573332814549,0.490091102008132,0.437139282606549,0.508841864879089,0.480810270327445,0.444243471527026,0.503607989901801
"D29673_06-AV996",0.476985628461134,0.451452253093688,0.487431182691128,0.483105492745665,0.397916835062105,0,0.554982066161255,0.50057922147683,0.520918093834189,0.520562693194302,0.50986339145406,0.629467502702276,0.452005762200407,0.479562477616846,0.459186625851599,0.54265159505961,0.45158211678634,0.494899873632074,0.536804718182694,0.571157520731508,0.5390900397015,0.52853588648929,0.484794294423495,0.519639066829297,0.576829906848102,0.550830909860461,0.582683108061645,0.470525365788127,0.545158518110663,0.524426777955197,0.656777855307306,0.695503042349347,0.611215230692601,0.729686775738609,0.664150322921739,0.614517868091846,0.532445553499418,0.529469521183015,0.683069981753607,0.695771068778809,0.566894446536608,0.594093452813826,0.580332010901477,0.514712577978457,0.694112688065807,0.590291308471606,0.589511237007971,0.557115277496828,0.482854398152849,0.613062092223478,0.557164318546566,0.524076121837243,0.605491621912769,0.434777658259342,0.469300837487457,0.485846192329983,0.582669479422284,0.488975374288075,0.563782020587925,0.549519308552529,0.490401711278577,0.590109315808546
"D29675_08-AV583",0.493985536763151,0.510399902414595,0.598377808638914,0.531236542485687,0.500459433272174,0.554982066161255,0,0.438878096459614,0.460351283250617,0.467528920706668,0.47368953928301,0.52771617933194,0.53133909397774,0.500998897069369,0.503844310667473,0.503949651069614,0.510913168957283,0.521236431809953,0.508658580007539,0.542025286996969,0.522997605034315,0.559699670533421,0.514668120038302,0.46273898338027,0.491514011807553,0.475511208432508,0.516388431178915,0.482704039273235,0.500679918864139,0.498084648796638,0.605681528551836,0.645838952257059,0.601406264000933,0.663417799208199,0.602118528743466,0.563345335492717,0.528307272057517,0.577130793235261,0.705126749178165,0.627385863400564,0.520380629356937,0.527671118429533,0.532157953999627,0.531766882596931,0.605135267029572,0.517064859146765,0.526629947489055,0.53264386691899,0.511843944186104,0.576003056128026,0.503230680972513,0.471334040234258,0.535972081155471,0.488858501691224,0.536927790587906,0.514863634310477,0.537876275241757,0.476127838744026,0.487869254291467,0.509611555723905,0.519367043148866,0.550277930994749
"D29676_09-AV584",0.422931504641435,0.445655225265715,0.547150104779926,0.403292773948891,0.42270543402782,0.50057922147683,0.438878096459614,0,0.32882582844195,0.343739708240229,0.359220191854865,0.439507324868977,0.455048730316552,0.409319817463478,0.427896328811344,0.380752340414354,0.442012746158232,0.45025815559484,0.428729754379669,0.454776291003233,0.411891345796867,0.428881076043654,0.434063583703685,0.391196894952835,0.394065956029795,0.357283613190257,0.406333298107417,0.382740220763132,0.395433535412183,0.376391252966803,0.547546139156499,0.626851325748818,0.519046742839676,0.63808866644083,0.551285065041461,0.484041611118622,0.44843985362649,0.548610486134905,0.648552805113172,0.577718460987905,0.412249727884809,0.447682544365996,0.426693714874566,0.42226795660403,0.558829906926212,0.404635608959744,0.43169845619625,0.424736632980729,0.418276954169252,0.478546362331057,0.401065345803731,0.356647453483767,0.422477139026939,0.434609116374758,0.453674667300512,0.395619405754548,0.405832967655112,0.38742177650491,0.423197346631871,0.386299302726422,0.388988248077418,0.438667028162043
"D29677_10-AV587",0.415534226752617,0.410167553645928,0.49223941226253,0.332113201445214,0.421412519419265,0.520918093834189,0.460351283250617,0.32882582844195,0,0.303682850452739,0.348396228953379,0.363825579160175,0.462343173029197,0.446467785497508,0.461054844485762,0.406883023847694,0.485216136639966,0.45691604209944,0.39037183833135,0.431469746996944,0.428507685804259,0.404327987776698,0.45571929463905,0.411381867626033,0.367606284288998,0.319110034861046,0.336138478076625,0.354152439097368,0.331202767316688,0.356701282195149,0.530741244368037,0.589743325280573,0.48281599424737,0.582704799852222,0.510380616359362,0.440453448630693,0.41297413149714,0.498503844894109,0.595865746121398,0.509541866157243,0.398863764313741,0.431210072199974,0.398566933260024,0.406871946183846,0.494463901194124,0.383516338895952,0.416504226854388,0.388305879840125,0.43492468812051,0.437651098595816,0.3790692437226,0.33527070827835,0.406038125372149,0.465067945451985,0.442753861859892,0.348876777668709,0.367998054359998,0.424135818361903,0.440013836250493,0.412564196114731,0.388143247013811,0.411076582493616
"D29678_11-AV588",0.455438475258199,0.448422842129435,0.532051520431708,0.377683356832008,0.427348617751267,0.520562693194302,0.467528920706668,0.343739708240229,0.303682850452739,0,0.285723351500302,0.407388505965608,0.490596260084909,0.401910801459808,0.457682156817912,0.43462368846852,0.457936721093488,0.463248686825818,0.410838582435087,0.433525869812273,0.420897767563354,0.40943230024093,0.454515233809733,0.405604226242457,0.398262042528634,0.353391621995163,0.33831131981347,0.362517882301521,0.360632933122618,0.355005591043176,0.534771487658756,0.574336785204581,0.479691548035925,0.598624369820234,0.524543372397015,0.440315781923829,0.419355521754668,0.503503594501374,0.621673194677242,0.52094367048315,0.405973261545511,0.45795204933607,0.407702502907158,0.421802553018493,0.508626745435415,0.38698750585809,0.442144617527088,0.394950438628924,0.411813792456029,0.431128728417554,0.377534937948943,0.329246303612199,0.435023494288257,0.452722081023055,0.448109715231041,0.353603109786334,0.374308688751735,0.410095691920999,0.423954404343041,0.387901108936003,0.378233627060643,0.419693553108695
