"","D29613_01-AV555","D29614_02-AV604","D29615_03-AV612","D29616_04-AV650","D29617_05-AV717","D29618_06-AV718","D29619_07-AV770","D29620_08-AV782.2","D29621_09-AV791","D29622_10-AV794","D29623_11-AV833","D29624_12-AV967","D29625_13-AV968","D29626_14-AV971","D29627_15-AV972","D29628_16-AV974","D29629_17-AV996","D29630_18-AV551","D29631_19-AV572","D29632_20-AV580","D29633_21-AV586","D29634_22-AV589","D29635_23-AV590","D29636_24-AV591","D29637_25-AV598","D29638_26-AV608","D29639_27-AV609","D29640_28-AV610","D29641_29-AV611","D29642_30-AV802","D29643_31-AV521","D29644_32-AV527","D29645_33-AV541","D29646_34-AV542","D29647_35-AV543","D29648_36-AV567","D29649_37-AV568","D29650_38-AV570","D29651_39-AV571","D29652_40-AV579","D29653_41-AV803","D29654_42-AV814","D29655_43-AV583","D29656_44-AV584","D29657_45-AV587","D29658_46-AV588","D29659_47-AV596","D29660_48-AV597","D29661_49-AV816","D29662_50-AV817","D29663_51-AV863","D29664_52-AV864","D29665_53-AV865","D29666_54-AV866"
"D29613_01-AV555",0,0.350701839489864,0.421103131328585,0.339404794879094,0.358682052981181,0.351398110707956,0.431029008693394,0.42351065673762,0.465242113498861,0.485687566879791,0.346895564696062,0.528015437931437,0.502703190915752,0.429989715383389,0.4219843300418,0.539308426276216,0.566785672224189,0.369828928077187,0.445145805570323,0.509321156358528,0.485913061192171,0.484452458405197,0.433456907050092,0.564612537403424,0.538764641288235,0.54069052775083,0.506584839334306,0.446080947433704,0.500967529622014,0.471270043799719,0.468254530483406,0.453249853465098,0.418514078540984,0.435631116370627,0.384575072861466,0.429050583700376,0.424950168291302,0.403405693924536,0.414804103926999,0.558798629555818,0.447759445227707,0.424851804918703,0.575791695755562,0.489442429119904,0.421075507902199,0.426199051048961,0.446663636475342,0.439443015470655,0.609896609037641,0.51481124942844,0.558543881851626,0.506325836091704,0.440855072626211,0.524295351132278
"D29614_02-AV604",0.350701839489864,0,0.423908426501304,0.335435532794796,0.335665477854578,0.399248261340156,0.38718463715692,0.458414059494897,0.405031187519335,0.452148758430715,0.321521743495701,0.523260219419766,0.478191150659908,0.378564168129499,0.377693867963884,0.477263933270255,0.525854721194003,0.419019633776746,0.37349481600828,0.460706447932464,0.409473690099041,0.441369952653981,0.39030588802922,0.508695286206486,0.464073493439703,0.48833364496254,0.436316711037492,0.349915977812119,0.452254616086992,0.408322973868216,0.396379854968813,0.395318024332327,0.387834679579926,0.365674548655724,0.331796819677982,0.369806609603708,0.407163875264841,0.386431605976423,0.342636194962974,0.498798775502005,0.395500200165929,0.387569761972756,0.542991278199366,0.458061901444468,0.368680606459943,0.383938443380376,0.41358287864008,0.379435631664312,0.562547132407506,0.500747561230935,0.519416575570615,0.461373296786636,0.404242510339729,0.49731990344922
"D29615_03-AV612",0.421103131328585,0.423908426501304,0,0.421880662065886,0.37180323311169,0.277684454422738,0.552140326282737,0.562179752103147,0.545662997331795,0.581343615465892,0.385226783080626,0.675329928373648,0.63117709183532,0.526801720452054,0.513797250644768,0.614466663522874,0.664098122350089,0.496076490382017,0.482241220194951,0.623396520690664,0.544071635082191,0.583586892577224,0.545264045527398,0.668771925691911,0.61511978885512,0.609187884864434,0.575417669489856,0.518712036872105,0.607362790410616,0.539027354679716,0.530792499256223,0.554811918736201,0.547413573658539,0.516067631271138,0.486934831473205,0.525540196254027,0.589914593191802,0.573379352898937,0.477263137622276,0.637569753671142,0.530760592963548,0.551876071586648,0.659642118138503,0.610410737094661,0.516806498643252,0.509071178911264,0.534070680853299,0.493416592247069,0.715129820174823,0.662164661553102,0.693930834710513,0.63322734983863,0.564145242866933,0.649768671949589
"D29616_04-AV650",0.339404794879094,0.335435532794796,0.421880662065886,0,0.330715932283993,0.368585792347825,0.381445597272486,0.39325521115472,0.383138420614144,0.439864661173692,0.331735349158869,0.517619927007969,0.486182967750227,0.4132081789186,0.376151184002992,0.485432946557396,0.5386615051388,0.34156593712203,0.387172964514856,0.470323550225617,0.448341012186827,0.452409818085872,0.398873657257729,0.552598846340545,0.493822980961937,0.506987714232622,0.470601336133011,0.409119373977209,0.477556432597684,0.400380090914488,0.403899107365747,0.420967106351307,0.382876694280513,0.397078166297191,0.31490764531085,0.372736579661077,0.400444496023418,0.390123821696954,0.34636231325515,0.519430404771432,0.400540754869163,0.3901102206559,0.541988555251752,0.46736051032343,0.382039350752984,0.360560365472589,0.412402560105669,0.376875741086534,0.606565803919566,0.516053842180027,0.548751815621199,0.481527150920548,0.398941526813619,0.502559180053705
"D29617_05-AV717",0.358682052981181,0.335665477854578,0.37180323311169,0.330715932283993,0,0.361555867356116,0.441585543339948,0.446908169779747,0.44628654099202,0.489823918823201,0.341021930607242,0.573733604296984,0.530010261486921,0.432734932342184,0.398151400853956,0.518509669458451,0.561751610362583,0.408769184272486,0.421709169029163,0.483981825516431,0.437832470044643,0.459463263912192,0.436606028727878,0.558645455122183,0.49121044195111,0.494030708279146,0.449340468564403,0.399829566660547,0.491756750853636,0.403137479780488,0.433265664436618,0.421411661523677,0.414080003782271,0.411209321579407,0.383157434048881,0.411082550297519,0.45567227106166,0.457200518847326,0.386773315849357,0.538911086158105,0.424589562046874,0.437287084761913,0.577793995968055,0.512259802994158,0.41174966014254,0.412592346054093,0.424257942521098,0.397202656977251,0.608767601306113,0.55147881410217,0.577897539057124,0.512456592978429,0.450103237216884,0.535451594796864
"D29618_06-AV718",0.351398110707956,0.399248261340156,0.277684454422738,0.368585792347825,0.361555867356116,0,0.511922998410968,0.494307542012349,0.512885178854813,0.551149950146907,0.369875711369793,0.627838492562758,0.595369510236165,0.505031621626628,0.47651425736527,0.584538574045949,0.615837759059216,0.431358936840213,0.490930825716829,0.579366433729754,0.550166144114764,0.554841970431824,0.497644885067483,0.644578695710304,0.591491775684413,0.602450767922879,0.58204721752399,0.511334702984089,0.589233066325888,0.518590846846516,0.512614911088465,0.516647692213666,0.498391850444853,0.492592045945657,0.440201660970713,0.483172226395112,0.518292610284977,0.506190910937931,0.451229331810181,0.615426048086838,0.504884865607781,0.502589446717125,0.640040582435772,0.580731114149829,0.487941213733732,0.486719223988508,0.502667094323601,0.484103059475696,0.671153288571737,0.599255991530303,0.645917399328124,0.588160416291186,0.523031987526456,0.600998948078043
"D29619_07-AV770",0.431029008693394,0.38718463715692,0.552140326282737,0.381445597272486,0.441585543339948,0.511922998410968,0,0.358790423858078,0.309832774673923,0.31552306928962,0.398490483374876,0.402501702356588,0.369188700940346,0.388504450433499,0.328754199700393,0.383663293189417,0.383332774648359,0.379288661708065,0.398684925860903,0.353155966946052,0.406399096936605,0.375448830813566,0.406315707614352,0.415433960853675,0.382510207542407,0.446399071505637,0.419780643697054,0.382608704746915,0.390188488599001,0.382604641984727,0.362441552235743,0.323086213776175,0.335483778644943,0.329600713606229,0.309634326523323,0.328858785798664,0.316662397023761,0.316595430773185,0.358534245629481,0.361080158417755,0.361381410503754,0.312319833718913,0.45525197365134,0.376290909829063,0.37349582596498,0.361377007109951,0.36188541868106,0.364394131392558,0.465631639284155,0.397237831539671,0.410108952837738,0.371928423480096,0.374753720222291,0.378448732427586
"D29620_08-AV782.2",0.42351065673762,0.458414059494897,0.562179752103147,0.39325521115472,0.446908169779747,0.494307542012349,0.358790423858078,0,0.443222050864129,0.435760906314678,0.447277957222943,0.465477944225948,0.447380488795448,0.449244406278089,0.400287244211641,0.483584111953371,0.487492290016298,0.444706911709053,0.478182746887905,0.438554883960156,0.453361341979289,0.43194503933668,0.438889997680722,0.449235136135647,0.445718731103589,0.522581174041004,0.484809879029619,0.461072345942655,0.45247566490802,0.430940489742388,0.42598179145096,0.404228839543057,0.363912561901024,0.410088713307662,0.378661392867665,0.418570726036601,0.379954803428179,0.404754904419884,0.439494584793295,0.452714372477336,0.43143437697683,0.381308092185168,0.541872543659838,0.46746843408934,0.420213753751254,0.42232225395991,0.414487037933786,0.429481422726023,0.497339653314693,0.452168584350763,0.462116884686021,0.458374293223452,0.451880005473251,0.443131302803627
"D29621_09-AV791",0.465242113498861,0.405031187519335,0.545662997331795,0.383138420614144,0.44628654099202,0.512885178854813,0.309832774673923,0.443222050864129,0,0.262277897129785,0.399166328280948,0.424680244320531,0.378317708057708,0.361788310501207,0.362963169841092,0.398968634956018,0.42038436575404,0.409171735838554,0.396411222379923,0.415796708001386,0.41590573241549,0.402939695006862,0.437555615404198,0.464605792993366,0.430638740850232,0.428649864835907,0.427128800812773,0.391620613495652,0.453454236566578,0.382507410094346,0.367587002639918,0.350587521266142,0.417395593140774,0.3557459008488,0.339837764431196,0.33284527318261,0.396598936594578,0.385901532548356,0.368560484516528,0.431145976906783,0.361472691692242,0.355746027446928,0.488823743885869,0.404650614329172,0.389512010082609,0.384415098701025,0.397928553530707,0.382232816809084,0.496430569701446,0.415001995218406,0.471701382452849,0.404415907234721,0.405466207394074,0.40301013533308
"D29622_10-AV794",0.485687566879791,0.452148758430715,0.581343615465892,0.439864661173692,0.489823918823201,0.551149950146907,0.31552306928962,0.435760906314678,0.262277897129785,0,0.423348405670153,0.405382580042815,0.350495556429215,0.393537276072333,0.375672790032987,0.382304452085397,0.378667816789028,0.422624017866563,0.449125001104345,0.418586575920054,0.445313416792232,0.396223513791962,0.430306317378396,0.458463240811974,0.436366697649638,0.439446052684374,0.446753180682113,0.417173232813891,0.451343069002109,0.408720962731274,0.400498109642309,0.378472609886639,0.415473819964867,0.384703932437345,0.392857102148665,0.378928911728501,0.394629315175922,0.390817847568343,0.411881099948214,0.417926879119694,0.371915568554503,0.3556910873588,0.4735475062961,0.401838265319666,0.409405272227108,0.392788008312872,0.392825687188223,0.405753267697058,0.45730879350878,0.405665612756931,0.467317258045387,0.415590819246677,0.420313732765777,0.415371038944218
