"","Feature","NT","T","Contrib.NT","Contrib.T","Contrib","GroupContrib","color","importance","Variable","dataset","Type","Metabolite","Feature2"
"1","Zotu425; RikenellaceaeRC9gutgroup",-0.26330864180678,1.82885094625783,FALSE,TRUE,FALSE,"T","#F68B33",0.339165625572716,"Phenotype","luminal","zOTU",NA,"Zotu425; RikenellaceaeRC9gutgroup"
"2","Zotu601; Alistipes",-0.913345877847896,1.64584470210508,FALSE,TRUE,FALSE,"T","#F68B33",0.331529254624026,"Phenotype","luminal","zOTU",NA,"Zotu601; Alistipes"
"3","Zotu914; Parabacteroides",-0.485863473948412,1.57695752591564,FALSE,TRUE,FALSE,"T","#F68B33",0.30232128426845,"Phenotype","mucosal","zOTU",NA,"Zotu914; Parabacteroides"
"4","Zotu349; RikenellaceaeRC9gutgroup",-0.217750390754194,1.8216140187007,FALSE,TRUE,FALSE,"T","#F68B33",0.301083135416275,"Phenotype","luminal","zOTU",NA,"Zotu349; RikenellaceaeRC9gutgroup"
"5","Zotu914; Parabacteroides",-0.489860803070588,1.04703532197142,FALSE,TRUE,FALSE,"T","#F68B33",0.291461715195329,"Phenotype","luminal","zOTU",NA,"Zotu914; Parabacteroides.1"
"6","Zotu820; Parabacteroides",-0.537876254932138,1.74680798830076,FALSE,TRUE,FALSE,"T","#F68B33",0.262288805096771,"Phenotype","mucosal","zOTU",NA,"Zotu820; Parabacteroides"
"7","Zotu888; GOTU1436",-0.606363278755694,1.24464993811989,FALSE,TRUE,FALSE,"T","#F68B33",0.261559094405924,"Phenotype","luminal","zOTU",NA,"Zotu888; GOTU1436"
"8","Zotu869; Turicibacter",-0.411798711904877,2.079886293816,FALSE,TRUE,FALSE,"T","#F68B33",0.252167154019267,"Phenotype","luminal","zOTU",NA,"Zotu869; Turicibacter"
"9","Zotu981; Romboutsia",-0.43997006266969,1.91495629405317,FALSE,TRUE,FALSE,"T","#F68B33",0.248486426009947,"Phenotype","mucosal","zOTU",NA,"Zotu981; Romboutsia"
"10","Zotu894; Romboutsia",-0.507222988242641,1.90050811514311,FALSE,TRUE,FALSE,"T","#F68B33",0.244076407320547,"Phenotype","mucosal","zOTU",NA,"Zotu894; Romboutsia"
"11","Zotu425; RikenellaceaeRC9gutgroup",-0.276461206081582,1.51208029743236,FALSE,TRUE,FALSE,"T","#F68B33",0.232117422152316,"Phenotype","mucosal","zOTU",NA,"Zotu425; RikenellaceaeRC9gutgroup.1"
"12","Zotu645; Limosilactobacillus",-0.624854077655119,1.24563678149646,FALSE,TRUE,FALSE,"T","#F68B33",0.231284375622958,"Phenotype","mucosal","zOTU",NA,"Zotu645; Limosilactobacillus"
"13","Zotu424; Bacteroides",-0.544534266963248,1.36033974709398,FALSE,TRUE,FALSE,"T","#F68B33",0.213276263944875,"Phenotype","mucosal","zOTU",NA,"Zotu424; Bacteroides"
"14","Zotu601; Alistipes",-0.698974382000676,1.43073951134218,FALSE,TRUE,FALSE,"T","#F68B33",0.207362370314045,"Phenotype","mucosal","zOTU",NA,"Zotu601; Alistipes.1"
"15","Zotu894; Romboutsia",-0.469659100029234,1.70751979137822,FALSE,TRUE,FALSE,"T","#F68B33",0.20717469565865,"Phenotype","luminal","zOTU",NA,"Zotu894; Romboutsia.1"
"16","Zotu869; Turicibacter",-0.469758926432213,1.67108035115053,FALSE,TRUE,FALSE,"T","#F68B33",0.204168921171761,"Phenotype","mucosal","zOTU",NA,"Zotu869; Turicibacter.1"
"17","pos_1455",-0.27582713621415,1.17447667449273,FALSE,TRUE,FALSE,"T","#F68B33",0.179796364860992,"Phenotype",NA,"Metabolite","w/o MS2:DG O-8:0_24:5","DG O-8:0_24:5"
"18","Zotu888; GOTU1436",-0.511016548850141,1.41052388616885,FALSE,TRUE,FALSE,"T","#F68B33",0.172772933718097,"Phenotype","mucosal","zOTU",NA,"Zotu888; GOTU1436.1"
"19","neg_1104",-0.324096717476418,1.54110975414325,FALSE,TRUE,FALSE,"T","#F68B33",0.169611353981193,"Phenotype",NA,"Metabolite","w/o MS2:LPG O-16:3","LPG O-16:3"
"20","Zotu597; Limosilactobacillus",-0.345782094294528,1.03293681767961,FALSE,TRUE,FALSE,"T","#F68B33",0.169502425797402,"Phenotype","mucosal","zOTU",NA,"Zotu597; Limosilactobacillus"
"21","neg_474",-0.232319278020332,1.0013357361449,FALSE,TRUE,FALSE,"T","#F68B33",0.167848950313438,"Phenotype",NA,"Metabolite","FA 22:5","FA 22:5"
"22","Zotu820; Parabacteroides",-0.56963608182175,1.48271015546025,FALSE,TRUE,FALSE,"T","#F68B33",0.163214401750117,"Phenotype","luminal","zOTU",NA,"Zotu820; Parabacteroides.1"
"23","pos_1330",-0.159009059609517,0.946230918872646,FALSE,TRUE,FALSE,"T","#F68B33",0.155890429936877,"Phenotype",NA,"Metabolite","LPC O-16:0","LPC O-16:0"
"24","pos_1371",-0.331646287388107,0.773644609987978,FALSE,TRUE,FALSE,"T","#F68B33",0.155392948001816,"Phenotype",NA,"Metabolite","w/o MS2:LPC O-18:3","LPC O-18:3"
"25","neg_1306",-0.275708740015064,1.02626489373099,FALSE,TRUE,FALSE,"T","#F68B33",0.153741416713126,"Phenotype",NA,"Metabolite","w/o MS2:LPE O-20:1","LPE O-20:1"
"26","neg_586",-0.270236681613013,1.24559452996888,FALSE,TRUE,FALSE,"T","#F68B33",0.152640575688783,"Phenotype",NA,"Metabolite","FA 24:1","FA 24:1"
"27","neg_1983",-0.320649997972951,0.765544853504648,FALSE,TRUE,FALSE,"T","#F68B33",0.151764021780546,"Phenotype",NA,"Metabolite","w/o MS2:PS 2:0_20:0","PS 2:0_20:0"
"28","pos_1473",-0.371662171974841,1.28889205763573,FALSE,TRUE,FALSE,"T","#F68B33",0.150827612057399,"Phenotype",NA,"Metabolite","w/o MS2:DG O-9:0_24:5","DG O-9:0_24:5"
"29","Zotu701; ChristensenellaceaeR-7group",-0.714223606478673,0.975298649399855,FALSE,TRUE,FALSE,"T","#F68B33",0.148958839950684,"Phenotype","mucosal","zOTU",NA,"Zotu701; ChristensenellaceaeR-7group"
