"","variable","name","value","Phenotype"
"1","ratio","002-AV-Spatial-organisation-AV34-1",0.359286999937125,"TA"
"2","ratio","003-AV-Spatial-organisation-AV34-2",0.36307775966502,"T"
"3","ratio","004-AV-Spatial-organisation-AV34-3",0.4551127332524,"T"
"4","ratio","005-AV-Spatial-organisation-AV34-4",0.398713217893886,"T"
"5","ratio","006-AV-Spatial-organisation-AV34-5",0.32529153738654,"TA"
"6","ratio","007-AV-Spatial-organisation-AV34-6",0.323161282633141,"T"
"7","ratio","008-AV-Spatial-organisation-AV34-7",0.207197557959159,"TA"
"8","ratio","009-AV-Spatial-organisation-AV34-8",0.301667034645536,"NT"
"9","ratio","010-AV-Spatial-organisation-AV34-9",0.45706174592416,"NT"
"10","ratio","011-AV-Spatial-organisation-AV34-10",0.45712497394154,"NT"
"11","ratio","012-AV-Spatial-organisation-AV34-11",0.572316555463972,"NT"
"12","ratio","013-AV-Spatial-organisation-AV34-12",0.537566765584427,"NT"
"13","ratio","014-AV-Spatial-organisation-AV34-13",0.53124363933239,"NT"
"14","ratio","015-AV-Spatial-organisation-AV34-14",0.607256196966323,"NT"
"15","ratio","016-AV-Spatial-organisation-AV34-15",0.512328410653472,"NT"
"16","ratio","017-AV-Spatial-organisation-AV34-16",0.461270387049568,"NT"
"17","ratio","020-AV-Spatial-organisation-AV35-1",0.160282852090763,"NT"
"18","ratio","021-AV-Spatial-organisation-AV35-2",0.229148579047051,"NT"
"19","ratio","022-AV-Spatial-organisation-AV35-3",0.276277816980832,"NT"
"20","ratio","023-AV-Spatial-organisation-AV35-4",0.270520901254233,"TA"
"21","ratio","024-AV-Spatial-organisation-AV35-5",0.379320194224513,"T"
"22","ratio","025-AV-Spatial-organisation-AV35-6",0.2268409203207,"TA"
"23","ratio","026-AV-Spatial-organisation-AV35-7",0.258829118942952,"T"
"24","ratio","027-AV-Spatial-organisation-AV35-8",0.291117815877201,"T"
"25","ratio","028-AV-Spatial-organisation-AV35-9",0.38416868303516,"T"
"26","ratio","029-AV-Spatial-organisation-AV35-10",0.321664275467662,"T"
"27","ratio","030-AV-Spatial-organisation-AV35-11",0.3229990509361,"TA"
"28","ratio","031-AV-Spatial-organisation-AV35-12",0.254045490544613,"NT"
"29","ratio","032-AV-Spatial-organisation-AV35-13",0.29265572724039,"NT"
"30","ratio","033-AV-Spatial-organisation-AV35-14",0.31349796686422,"NT"
"31","ratio","034-AV-Spatial-organisation-AV35-15",0.356329164355486,"NT"
"32","ratio","035-AV-Spatial-organisation-AV35-16",0.253407934898598,"NT"
"33","ratio","038-AV-Spatial-organisation-AV951-1",0.174327158332028,"CTRL"
"34","ratio","039-AV-Spatial-organisation-AV951-2",0.1683891660732,"CTRL"
"35","ratio","040-AV-Spatial-organisation-AV951-3",0.155991885222564,"CTRL"
"36","ratio","041-AV-Spatial-organisation-AV951-4",0.213452787262556,"CTRL"
"37","ratio","042-AV-Spatial-organisation-AV951-5",0.270607826800925,"CTRL"
"38","ratio","043-AV-Spatial-organisation-AV951-6",0.134873811868795,"CTRL"
"39","ratio","044-AV-Spatial-organisation-AV951-7",0.17612293144395,"CTRL"
"40","ratio","047-AV-Spatial-organisation-AV951-10",0.106497418244755,"CTRL"
"41","ratio","048-AV-Spatial-organisation-AV951-11",0.117724867725006,"CTRL"
"42","ratio","049-AV-Spatial-organisation-AV951-12",0.0834994462887154,"CTRL"
"43","ratio","050-AV-Spatial-organisation-AV951-13",0.105853806489137,"CTRL"
"44","ratio","051-AV-Spatial-organisation-AV951-14",0.085598305678929,"CTRL"
"45","ratio","056-AV-Spatial-organisation-AV954-1",0.293825408097848,"CTRL"
"46","ratio","057-AV-Spatial-organisation-AV954-2",0.328840062013405,"CTRL"
"47","ratio","058-AV-Spatial-organisation-AV954-3",0.412629415948702,"CTRL"
"48","ratio","059-AV-Spatial-organisation-AV954-4",0.412092882972582,"CTRL"
"49","ratio","060-AV-Spatial-organisation-AV954-5",0.307331333176455,"CTRL"
"50","ratio","061-AV-Spatial-organisation-AV954-6",0.336312146015017,"CTRL"
"51","ratio","062-AV-Spatial-organisation-AV954-7",0.186734920980872,"CTRL"
"52","ratio","063-AV-Spatial-organisation-AV954-8",0.138195991092417,"CTRL"
"53","ratio","064-AV-Spatial-organisation-AV954-9",0.127441606335615,"CTRL"
"54","ratio","065-AV-Spatial-organisation-AV954-10",0.242806035151455,"CTRL"
"55","ratio","066-AV-Spatial-organisation-AV954-11",0.178286558337335,"CTRL"
"56","ratio","067-AV-Spatial-organisation-AV954-12",0.308728599488678,"CTRL"
"57","ratio","068-AV-Spatial-organisation-AV954-13",0.20520673813199,"CTRL"
"58","ratio","069-AV-Spatial-organisation-AV954-14",0.243001646669112,"CTRL"
"59","ratio","070-AV-Spatial-organisation-AV954-15",0.269158172900057,"CTRL"
"60","ratio","073-AV-Spatial-organisation-AV953-1",0.133174993641126,"CTRL"
"61","ratio","074-AV-Spatial-organisation-AV953-2",0.167178362569323,"CTRL"
"62","ratio","075-AV-Spatial-organisation-AV953-3",0.170343137252733,"CTRL"
"63","ratio","076-AV-Spatial-organisation-AV953-4",0.153236004142209,"CTRL"
"64","ratio","077-AV-Spatial-organisation-AV953-5",0.154680460540676,"CTRL"
"65","ratio","078-AV-Spatial-organisation-AV953-6",0.149573905371091,"CTRL"
"66","ratio","080-AV-Spatial-organisation-AV953-8",0.193073593081283,"CTRL"
"67","ratio","081-AV-Spatial-organisation-AV953-9",0.188185355499702,"CTRL"
"68","ratio","082-AV-Spatial-organisation-AV953-10",0.168393782379679,"CTRL"
"69","ratio","087-AV-Spatial-organisation-AV953-15",0.15713176288395,"CTRL"
"70","ratio","090-AV-Spatial-organisation-AV44-1",0.213343941793538,"NT"
"71","ratio","091-AV-Spatial-organisation-AV44-2",0.22736548168968,"NT"
"72","ratio","092-AV-Spatial-organisation-AV44-3",0.274662421128391,"TA"
"73","ratio","093-AV-Spatial-organisation-AV44-4",0.31264367817387,"T"
"74","ratio","094-AV-Spatial-organisation-AV44-5",0.232462877636483,"TA"
"75","ratio","095-AV-Spatial-organisation-AV44-6",0.274687854708789,"NT"
"76","ratio","098-AV-Spatial-organisation-AV44-7",0.232806248806015,"NT"
"77","ratio","099-AV-Spatial-organisation-AV44-8",0.250198360209738,"NT"
"78","ratio","100-AV-Spatial-organisation-AV44-9",0.242038216557965,"NT"
"79","ratio","101-AV-Spatial-organisation-AV44-10",0.233162142336448,"NT"
"80","ratio","102-AV-Spatial-organisation-AV44-11",0.240371845943084,"NT"
"81","ratio","103-AV-Spatial-organisation-AV44-12",0.247228915662889,"NT"
"82","ratio","104-AV-Spatial-organisation-AV44-13",0.320806241873553,"NT"
"83","ratio","105-AV-Spatial-organisation-AV44-14",0.273691387017214,"NT"
"84","ratio","106-AV-Spatial-organisation-AV44-15",0.253452477655909,"NT"
"85","ratio","109-AV-Spatial-organisation-AV502-1",0.24214379445723,"CTRL"
"86","ratio","110-AV-Spatial-organisation-AV502-2",0.19593939394488,"CTRL"
"87","ratio","111-AV-Spatial-organisation-AV502-3",0.234062949348778,"CTRL"
"88","ratio","112-AV-Spatial-organisation-AV502-4",0.239886276144275,"CTRL"
"89","ratio","113-AV-Spatial-organisation-AV502-5",0.16985673353126,"CTRL"
"90","ratio","114-AV-Spatial-organisation-AV502-6",0.153888430887985,"CTRL"
"91","ratio","115-AV-Spatial-organisation-AV502-7",0.192230632233094,"CTRL"
"92","ratio","116-AV-Spatial-organisation-AV502-8",0.208733353979986,"CTRL"
"93","ratio","117-AV-Spatial-organisation-AV502-9",0.206545973423088,"CTRL"
"94","ratio","118-AV-Spatial-organisation-AV502-10",0.176441102756368,"CTRL"
"95","ratio","119-AV-Spatial-organisation-AV502-11",0.203256168910312,"CTRL"
"96","ratio","120-AV-Spatial-organisation-AV502-12",0.202195791405883,"CTRL"
"97","ratio","121-AV-Spatial-organisation-AV502-13",0.191489361696285,"CTRL"
"98","ratio","122-AV-Spatial-organisation-AV502-14",0.165559001622698,"CTRL"
"99","ratio","123-AV-Spatial-organisation-AV502-15",0.197691814487251,"CTRL"
"100","ratio","126-AV-Spatial-organisation-AV49-1",0.172137126185397,"T"
"101","ratio","127-AV-Spatial-organisation-AV49-2",0.180553991678102,"T"
"102","ratio","128-AV-Spatial-organisation-AV49-3",0.133018473129114,"TA"
"103","ratio","129-AV-Spatial-organisation-AV49-4",0.145726702078993,"TA"
"104","ratio","130-AV-Spatial-organisation-AV49-5",0.179623851629294,"T"
"105","ratio","131-AV-Spatial-organisation-AV49-7",0.154204133136325,"T"
"106","ratio","132-AV-Spatial-organisation-AV49-8",0.191633844904477,"T"
"107","ratio","133-AV-Spatial-organisation-AV49-9",0.155654425928427,"T"
"108","ratio","134-AV-Spatial-organisation-AV49-10",0.148413608566832,"TA"
"109","ratio","135-AV-Spatial-organisation-AV49-11",0.143598852304239,"NT"
"110","ratio","136-AV-Spatial-organisation-AV49-12",0.198715782359888,"NT"
"111","ratio","137-AV-Spatial-organisation-AV49-13",0.168899626613656,"NT"
"112","ratio","138-AV-Spatial-organisation-AV49-14",0.171987046031609,"NT"
"113","ratio","139-AV-Spatial-organisation-AV49-15",0.147034708934802,"NT"
"114","ratio","141-AV-Spatial-organisation-AV49-17",0.143606738465498,"NT"
"115","ratio","144-AV-Spatial-organisation-AV504-1",0.275523330609648,"CTRL"
"116","ratio","145-AV-Spatial-organisation-AV504-2",0.232148283205152,"CTRL"
"117","ratio","146-AV-Spatial-organisation-AV504-3",0.258393641001431,"CTRL"
"118","ratio","147-AV-Spatial-organisation-AV504-4",0.279778132928895,"CTRL"
"119","ratio","148-AV-Spatial-organisation-AV504-5",0.24171137707806,"CTRL"
"120","ratio","149-AV-Spatial-organisation-AV504-6",0.210226174360287,"CTRL"
"121","ratio","150-AV-Spatial-organisation-AV504-7",0.223035952064245,"CTRL"
"122","ratio","151-AV-Spatial-organisation-AV504-8",0.201061477213513,"CTRL"
"123","ratio","152-AV-Spatial-organisation-AV504-9",0.231569173629366,"CTRL"
"124","ratio","153-AV-Spatial-organisation-AV504-10",0.244883147048479,"CTRL"
"125","ratio","154-AV-Spatial-organisation-AV504-11",0.214676667343644,"CTRL"
"126","ratio","155-AV-Spatial-organisation-AV504-12",0.231114995628777,"CTRL"
"127","ratio","156-AV-Spatial-organisation-AV504-13",0.267722473612986,"CTRL"
"128","ratio","157-AV-Spatial-organisation-AV504-14",0.21599999999027,"CTRL"
"129","ratio","158-AV-Spatial-organisation-AV504-15",0.251448952296831,"CTRL"
"130","ratio","161-AV-Spatial-organisation-AV37-1",0.66139827436377,"T"
"131","ratio","162-AV-Spatial-organisation-AV37-2",0.605667591224924,"TA"
"132","ratio","163-AV-Spatial-organisation-AV37-3",0.608422301328833,"NT"
"133","ratio","164-AV-Spatial-organisation-AV37-4",0.580287410211493,"NT"
"134","ratio","165-AV-Spatial-organisation-AV37-5",0.705850633576685,"TA"
"135","ratio","166-AV-Spatial-organisation-AV37-6",0.649494192583281,"T"
"136","ratio","167-AV-Spatial-organisation-AV37-7",0.750422807401676,"TA"
"137","ratio","168-AV-Spatial-organisation-AV37-8",0.758504510345886,"T"
"138","ratio","169-AV-Spatial-organisation-AV37-9",0.673633879771343,"TA"
"139","ratio","170-AV-Spatial-organisation-AV37-10",0.605080831398731,"NT"
"140","ratio","171-AV-Spatial-organisation-AV37-11",0.622991347337332,"NT"
