"","variable","name","value","Phenotype"
"1","ratio","002-AV-Spatial-organisation-AV34-1",0.0365729466468096,"TA"
"2","ratio","003-AV-Spatial-organisation-AV34-2",0.115129676587896,"T"
"3","ratio","004-AV-Spatial-organisation-AV34-3",0.163035806709798,"T"
"4","ratio","005-AV-Spatial-organisation-AV34-4",0.0934171597606726,"T"
"5","ratio","006-AV-Spatial-organisation-AV34-5",0.0482779047159017,"TA"
"6","ratio","007-AV-Spatial-organisation-AV34-6",0.0192837465572589,"T"
"7","ratio","008-AV-Spatial-organisation-AV34-7",0.0101272629488598,"TA"
"8","ratio","009-AV-Spatial-organisation-AV34-8",0.00790733458711682,"NT"
"9","ratio","010-AV-Spatial-organisation-AV34-9",0.0940164433537546,"NT"
"10","ratio","011-AV-Spatial-organisation-AV34-10",0.0487273819417746,"NT"
"11","ratio","012-AV-Spatial-organisation-AV34-11",0.0644565328937553,"NT"
"12","ratio","013-AV-Spatial-organisation-AV34-12",0.108316221772705,"NT"
"13","ratio","014-AV-Spatial-organisation-AV34-13",0.155784298652835,"NT"
"14","ratio","015-AV-Spatial-organisation-AV34-14",0.263757755624854,"NT"
"15","ratio","016-AV-Spatial-organisation-AV34-15",0.216749542005963,"NT"
"16","ratio","017-AV-Spatial-organisation-AV34-16",0.0896365337235204,"NT"
"17","ratio","020-AV-Spatial-organisation-AV35-1",0.0193621867884765,"NT"
"18","ratio","021-AV-Spatial-organisation-AV35-2",0.0429230920380888,"NT"
"19","ratio","022-AV-Spatial-organisation-AV35-3",0.0623498638791199,"NT"
"20","ratio","023-AV-Spatial-organisation-AV35-4",0.0667923839619833,"TA"
"21","ratio","024-AV-Spatial-organisation-AV35-5",0.151681373712853,"T"
"22","ratio","025-AV-Spatial-organisation-AV35-6",0.053222080795552,"TA"
"23","ratio","026-AV-Spatial-organisation-AV35-7",0.0741925311985925,"T"
"24","ratio","027-AV-Spatial-organisation-AV35-8",0.0736140007360587,"T"
"25","ratio","028-AV-Spatial-organisation-AV35-9",0.160628369376062,"T"
"26","ratio","029-AV-Spatial-organisation-AV35-10",0.113905683194097,"T"
"27","ratio","030-AV-Spatial-organisation-AV35-11",0.104401408452455,"TA"
"28","ratio","031-AV-Spatial-organisation-AV35-12",0.0628176848558978,"NT"
"29","ratio","032-AV-Spatial-organisation-AV35-13",0.0881051361056088,"NT"
"30","ratio","033-AV-Spatial-organisation-AV35-14",0.118486614295104,"NT"
"31","ratio","034-AV-Spatial-organisation-AV35-15",0.142147984175277,"NT"
"32","ratio","035-AV-Spatial-organisation-AV35-16",0.0655539219921836,"NT"
"33","ratio","038-AV-Spatial-organisation-AV951-1",0,"CTRL"
"34","ratio","039-AV-Spatial-organisation-AV951-2",0.000763125763128084,"CTRL"
"35","ratio","040-AV-Spatial-organisation-AV951-3",6.26802055796896e-05,"CTRL"
"36","ratio","041-AV-Spatial-organisation-AV951-4",0,"CTRL"
"37","ratio","042-AV-Spatial-organisation-AV951-5",0.000393339451958099,"CTRL"
"38","ratio","043-AV-Spatial-organisation-AV951-6",0.0010118531367606,"CTRL"
