"","SampleID","Mean_Gunifrac_Dist","Genotype","Age"
"1","D29624_12-AV967",0.403289185550399,"tg/tg","5wk"
"2","D29625_13-AV968",0.404851682446498,"tg/tg","5wk"
"3","D29626_14-AV971",0.424524948086704,"tg/tg","5wk"
"4","D29627_15-AV972",0.426493432542033,"tg/tg","5wk"
"5","D29628_16-AV974",0.424021660088593,"tg/tg","5wk"
"6","D29629_17-AV996",0.452861274682925,"tg/tg","5wk"
"7","D29662_50-AV817",0.421232772519453,"tg/tg","5wk"
"8","D29655_43-AV583",0.462211609317031,"tg/wt","5wk"
"9","D29656_44-AV584",0.377669678609615,"tg/wt","5wk"
"10","D29657_45-AV587",0.406044131718167,"tg/wt","5wk"
"11","D29658_46-AV588",0.432845671151913,"tg/wt","5wk"
"12","D29659_47-AV596",0.415449254340136,"tg/wt","5wk"
"13","D29660_48-AV597",0.437966086965965,"tg/wt","5wk"
"14","D29661_49-AV816",0.297403786293786,"fl/fl","5wk"
"15","D29663_51-AV863",0.263687713511637,"fl/fl","5wk"
"16","D29664_52-AV864",0.253934920434849,"fl/fl","5wk"
"17","D29665_53-AV865",0.299534492843663,"fl/fl","5wk"
"18","D29666_54-AV866",0.247519258014611,"fl/fl","5wk"
"19","D29614_02-AV604",0.432641728616637,"tg/tg","12wk"
"20","D29619_07-AV770",0.395789586246564,"tg/tg","12wk"
"21","D29620_08-AV782.2",0.46507240627064,"tg/tg","12wk"
"22","D29621_09-AV791",0.416526272301107,"tg/tg","12wk"
"23","D29622_10-AV794",0.430337178972302,"tg/tg","12wk"
"24","D29623_11-AV833",0.445516015266897,"tg/tg","12wk"
"25","D29648_36-AV567",0.340691262168169,"tg/wt","12wk"
"26","D29649_37-AV568",0.362755883579607,"tg/wt","12wk"
"27","D29650_38-AV570",0.374795964640491,"tg/wt","12wk"
"28","D29652_40-AV579",0.394176422545744,"tg/wt","12wk"
"29","D29653_41-AV803",0.315545746277009,"tg/wt","12wk"
"30","D29654_42-AV814",0.366942398138306,"tg/wt","12wk"
"31","D29632_20-AV580",0.278735770443169,"fl/fl","12wk"
"32","D29638_26-AV608",0.267080078399706,"fl/fl","12wk"
"33","D29639_27-AV609",0.230089380887546,"fl/fl","12wk"
"34","D29640_28-AV610",0.243682762623863,"fl/fl","12wk"
"35","D29641_29-AV611",0.253635220230321,"fl/fl","12wk"
"36","D29642_30-AV802",0.250615622829268,"fl/fl","12wk"
