"","SampleID","Mean_Gunifrac_Dist","Genotype","Age"
"1","D29668_01-AV967",0.466345756889886,"tg/tg","5wk"
"2","D29669_02-AV968",0.458850941480367,"tg/tg","5wk"
"3","D29670_03-AV971",0.543543749429496,"tg/tg","5wk"
"4","D29671_04-AV972",0.456744423503627,"tg/tg","5wk"
"5","D29672_05-AV974",0.454284743265775,"tg/tg","5wk"
"6","D29673_06-AV996",0.505097767364395,"tg/tg","5wk"
"7","D29684_17-AV817",0.44935346599651,"tg/tg","5wk"
"8","D29675_08-AV583",0.510627433940122,"tg/wt","5wk"
"9","D29676_09-AV584",0.411390428740454,"tg/wt","5wk"
"10","D29677_10-AV587",0.424482982816911,"tg/wt","5wk"
"11","D29678_11-AV588",0.433461297208815,"tg/wt","5wk"
"12","D29679_12-AV596",0.45319460842597,"tg/wt","5wk"
"13","D29680_13-AV597",0.534319006984201,"tg/wt","5wk"
"14","D29683_16-AV816",0.326285003396669,"fl/fl","5wk"
"15","D29685_18-AV863",0.304967364101857,"fl/fl","5wk"
"16","D29686_19-AV864",0.308190421622221,"fl/fl","5wk"
"17","D29752_85-AV865",0.33132652306263,"fl/fl","5wk"
"18","D29753_86-AV866",0.284036734289037,"fl/fl","5wk"
"19","D29733_66-AV604T",0.596891569891185,"tg/tg","12wk"
"20","D29734_67-AV770T",0.468941912797557,"tg/tg","12wk"
"21","D29735_68-AV791T",0.505688751413035,"tg/tg","12wk"
"22","D29736_69-AV782.2T",0.47286201737707,"tg/tg","12wk"
"23","D29737_70-AV794T",0.492948868969413,"tg/tg","12wk"
"24","D29738_71-AV604TA",0.584345161859414,"tg/tg","12wk"
"25","D29739_72-AV770TA",0.470640003153922,"tg/tg","12wk"
"26","D29740_73-AV791TA",0.489040782909145,"tg/tg","12wk"
"27","D29741_74-AV782.2TA",0.456570156712043,"tg/tg","12wk"
"28","D29742_75-AV794TA",0.46424450302018,"tg/tg","12wk"
"29","D29743_76-AV833T",0.500113018764214,"tg/tg","12wk"
"30","D29746_79-AV567",0.404646506777193,"tg/wt","12wk"
"31","D29747_80-AV568",0.397737938437117,"tg/wt","12wk"
"32","D29748_81-AV570",0.491202194761292,"tg/wt","12wk"
"33","D29749_82-AV579",0.413412425370057,"tg/wt","12wk"
"34","D29750_83-AV814",0.447095700273811,"tg/wt","12wk"
"35","D29751_84-AV803",0.379859194350351,"tg/wt","12wk"
"36","D29691_24-AV580",0.35330283235958,"fl/fl","12wk"
"37","D29692_25-AV608",0.316027010831697,"fl/fl","12wk"
"38","D29758_91-AV609",0.280701137337081,"fl/fl","12wk"
"39","D29759_92-AV610",0.274713714413584,"fl/fl","12wk"
"40","D29760_93-AV611",0.269143333398033,"fl/fl","12wk"
"41","D29761_94-AV802",0.356564830600343,"fl/fl","12wk"
