Tissue_Number,x,y,z,radius,"K10254_ohyA, sph; oleate hydratase [EC:4.2.1.53]"
1,150,110,0,50,3619.863333
2,150,230,0,50,4431.461667
3,150,350,0,50,4520.308333
4,160,470,0,50,4325.428333
5,170,590,0,50,4410.89
6,180,710,0,50,5484.936
7,185,830,0,50,4116.473333
8,170,950,0,50,3783.04
9,185,1070,0,50,3901.586667
10,210,1190,0,50,2464.015
11,200,1310,0,50,2364.805
12,180,1430,0,50,2205.961667
13,175,1550,0,50,2496.611667
14,175,1670,0,50,3800.883333
15,175,1790,0,50,4202.685
16,175,1910,0,50,5800.676667
17,180,2030,0,40,1014.09
