"","K10254_ohyA, sph; oleate hydratase [EC:4.2.1.53]","K06994_K06994; putative drug exporter of the RND superfamily"
"002-AV-Spatial-organisation-AV34-1",0.022349097164269,0.00419745253119862
"003-AV-Spatial-organisation-AV34-2",0.0278448749932075,0.0119117537204194
"004-AV-Spatial-organisation-AV34-3",0.031491476000799,0.0154257592285236
"005-AV-Spatial-organisation-AV34-4",0.0270343345100794,0.0096240136889959
"006-AV-Spatial-organisation-AV34-5",0.0206141530978252,0.00512806648060981
"007-AV-Spatial-organisation-AV34-6",0.0185484081837465,0.00218814783193647
"008-AV-Spatial-organisation-AV34-7",0.0132055960197993,0.00113929129878631
"009-AV-Spatial-organisation-AV34-8",0.0162021432048884,0.000941931786669629
"010-AV-Spatial-organisation-AV34-9",0.0272002154045607,0.0102877452782258
"011-AV-Spatial-organisation-AV34-10",0.0248404856764047,0.0055280010163413
"012-AV-Spatial-organisation-AV34-11",0.029211430787488,0.00770594746473261
"013-AV-Spatial-organisation-AV34-12",0.0327886824045255,0.0119638097928994
"014-AV-Spatial-organisation-AV34-13",0.0354268445045327,0.0165634927817503
"015-AV-Spatial-organisation-AV34-14",0.0442007191734529,0.0249042710323042
"016-AV-Spatial-organisation-AV34-15",0.0393970923019083,0.0213887815728051
"017-AV-Spatial-organisation-AV34-16",0.0289248300277201,0.00926840188241694
"020-AV-Spatial-organisation-AV35-1",0.0134757167438572,0.00208785629275312
"021-AV-Spatial-organisation-AV35-2",0.0192039865450151,0.004440392559702
"022-AV-Spatial-organisation-AV35-3",0.0218699631861815,0.00619402981128956
"023-AV-Spatial-organisation-AV35-4",0.0216827685766506,0.00651806259624382
"024-AV-Spatial-organisation-AV35-5",0.0279188332712541,0.0132512590720616
"025-AV-Spatial-organisation-AV35-6",0.0194063567150767,0.00551269788581015
"026-AV-Spatial-organisation-AV35-7",0.0221207110845721,0.0074832366570794
"027-AV-Spatial-organisation-AV35-8",0.0230805668934608,0.00751396985658126
"028-AV-Spatial-organisation-AV35-9",0.0298232809937265,0.0150341763586678
"029-AV-Spatial-organisation-AV35-10",0.0262035689239443,0.01089313086815
"030-AV-Spatial-organisation-AV35-11",0.0255725626870116,0.0100533208301442
"031-AV-Spatial-organisation-AV35-12",0.0211813400716305,0.00631941849255177
"032-AV-Spatial-organisation-AV35-13",0.0240980013332931,0.00891844870325905
"033-AV-Spatial-organisation-AV35-14",0.0262324565343646,0.0116067325730033
"034-AV-Spatial-organisation-AV35-15",0.0290652244742505,0.0136364605992097
"035-AV-Spatial-organisation-AV35-16",0.0248048635323031,0.00811774893789563
"038-AV-Spatial-organisation-AV951-1",0.0156187923519763,0
"039-AV-Spatial-organisation-AV951-2",0.0141819746755695,7.65881163219576e-05
"040-AV-Spatial-organisation-AV951-3",0.0125972734977,6.03988794911011e-06
"041-AV-Spatial-organisation-AV951-4",0.0168808454735623,0
"042-AV-Spatial-organisation-AV951-5",0.0215449204876997,4.01705156979131e-05
"043-AV-Spatial-organisation-AV951-6",0.0126716339405554,0.000108542455790026
"044-AV-Spatial-organisation-AV951-7",0.0160384088526448,3.97787863107835e-05
"047-AV-Spatial-organisation-AV951-10",0.0124495448495998,0
"048-AV-Spatial-organisation-AV951-11",0.0125237287886397,7.07535311919985e-05
"049-AV-Spatial-organisation-AV951-12",0.00980373309048581,0
"050-AV-Spatial-organisation-AV951-13",0.0122270080779519,0
"051-AV-Spatial-organisation-AV951-14",0.0100032019957821,0
"056-AV-Spatial-organisation-AV954-1",0.0213882100259202,3.24457069567964e-05
"057-AV-Spatial-organisation-AV954-2",0.0223626697430063,3.21781567811387e-05
"058-AV-Spatial-organisation-AV954-3",0.0262091067285199,1.50751810282762e-05
"059-AV-Spatial-organisation-AV954-4",0.0266787750161985,4.90205995490899e-05
"060-AV-Spatial-organisation-AV954-5",0.0217967018461078,5.47837520135015e-06
"061-AV-Spatial-organisation-AV954-6",0.0239953342767944,9.00921907802538e-05
"062-AV-Spatial-organisation-AV954-7",0.0163451007867501,6.88836276383208e-05
