"","OTU","Sample","Abundance","original_sample_id","Age","Genotype","Phenotype","Genotype_Age","Age_Phenotype","Tumor_No","ATF6_expression","GRP78_expression","Kingdom","Phylum","Class","Order","Family","Genus","ASV","Highest_classified"
"1","Zotu23; LachnospiraceaeNK4A136group","D29624_12-AV967",6.38104314676832,"12-AV967","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.120869837,23.50217257,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"2","Zotu86; Butyricicoccus","D29663_51-AV863",2.55725033918513,"51-AV863","5wk","fl/fl","NT","5wk_fl/fl","5wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"3","Zotu23; LachnospiraceaeNK4A136group","D29654_42-AV814",2.12853698769192,"42-AV814","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"4","Zotu49; LachnospiraceaeNK4A136group","D29628_16-AV974",2.00320764803925,"16-AV974","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.992074477,23.4479337,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu49","Zotu49; LachnospiraceaeNK4A136group"
"5","Zotu23; LachnospiraceaeNK4A136group","D29622_10-AV794",1.89882453719126,"10-AV794","12wk","tg/tg","T","12wk_tg/tg","12wk_T",1,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"6","Zotu23; LachnospiraceaeNK4A136group","D29621_09-AV791",1.79836044465428,"09-AV791","12wk","tg/tg","T","12wk_tg/tg","12wk_T",3,NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"7","Zotu86; Butyricicoccus","D29662_50-AV817",1.7808381811706,"50-AV817","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,5.425372628,25.42287977,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"8","Zotu40; GOTU1381","D29626_14-AV971",1.77439149110247,"14-AV971","5wk","tg/tg","NT","5wk_tg/tg","5wk_NT",0,4.530663119,23.61102698,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"9","Zotu40; GOTU1381","D29640_28-AV610",1.72590762212507,"28-AV610","12wk","fl/fl","NT","12wk_fl/fl","12wk_NT",0,NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"10","Zotu86; Butyricicoccus","D29654_42-AV814",1.7161527724908,"42-AV814","12wk","tg/wt","NT","12wk_tg/wt","12wk_NT",0,NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
