"","OTU","Sample","Abundance","mouse_id","Genotype","Age","Genotype_Age","Tissue","Phenotype","Tissue_Age","Age_Genotype","Age_Phenotype","Exact_Age","Tumor_No","Cage","Litter","Cage_Genotype","Gender","ATF6_expression","GRP78_expression","Kingdom","Phylum","Class","Order","Family","Genus","ASV","Highest_classified"
"1","Zotu23; LachnospiraceaeNK4A136group","D29668_01-AV967",4.88643467389039,"AV967","tg/tg","5wk","tg/tg_5wk","Healthy","NT","Healthy_5wk","5wk_tg/tg","5wk_NT",5.3,0,"T","162","T_tg/tg","f",5.120869837,23.50217257,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"2","Zotu23; LachnospiraceaeNK4A136group","D29750_83-AV814",4.03521838591265,"AV814","tg/wt","12wk","tg/wt_12wk","Healthy","NT","Healthy_12wk","12wk_tg/wt","12wk_NT",12.3,0,"P","157","P_tg/wt","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"3","Zotu23; LachnospiraceaeNK4A136group","D29742_75-AV794TA",2.57312981428099,"AV794TA","tg/tg","12wk","tg/tg_12wk","Tumor_adjacent","T","Tumor_adjacent_12wk","12wk_tg/tg","12wk_T",12,1,"N","152a","N_tg/tg","f",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"4","Zotu49; LachnospiraceaeNK4A136group","D29672_05-AV974",2.45664739884393,"AV974","tg/tg","5wk","tg/tg_5wk","Healthy","NT","Healthy_5wk","5wk_tg/tg","5wk_NT",5.3,0,"V","165","V_tg/tg","f",5.992074477,23.4479337,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu49","Zotu49; LachnospiraceaeNK4A136group"
"5","Zotu23; LachnospiraceaeNK4A136group","D29737_70-AV794T",2.14820272209081,"AV794T","tg/tg","12wk","tg/tg_12wk","Tumor","T","Tumor_12wk","12wk_tg/tg","12wk_T",12,1,"N","152a","N_tg/tg","f",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"6","Zotu704; Escherichia-Shigella","D29733_66-AV604T",2.07972805933251,"AV604T","tg/tg","12wk","tg/tg_12wk","Tumor","T","Tumor_12wk","12wk_tg/tg","12wk_T",12.3,3,"I","143","I_tg/tg","m",NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","Zotu704","Zotu704; Escherichia-Shigella"
"7","Zotu23; LachnospiraceaeNK4A136group","D29669_02-AV968",2.00569800569801,"AV968","tg/tg","5wk","tg/tg_5wk","Healthy","NT","Healthy_5wk","5wk_tg/tg","5wk_NT",5.3,0,"T","162","T_tg/tg","f",7.497392279,27.88444959,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"8","Zotu86; Butyricicoccus","D29684_17-AV817",1.67139016059879,"AV817","tg/tg","5wk","tg/tg_5wk","Healthy","NT","Healthy_5wk","5wk_tg/tg","5wk_NT",5,0,"Q","159","Q_tg/tg","m",5.425372628,25.42287977,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"9","Zotu86; Butyricicoccus","D29685_18-AV863",1.48518239682431,"AV863","fl/fl","5wk","fl/fl_5wk","Healthy","NT","Healthy_5wk","5wk_fl/fl","5wk_NT",5,0,"S","160","S_fl/fl","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"10","Zotu49; LachnospiraceaeNK4A136group","D29685_18-AV863",1.45096160427075,"AV863","fl/fl","5wk","fl/fl_5wk","Healthy","NT","Healthy_5wk","5wk_fl/fl","5wk_NT",5,0,"S","160","S_fl/fl","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu49","Zotu49; LachnospiraceaeNK4A136group"
"11","Zotu23; LachnospiraceaeNK4A136group","D29735_68-AV791T",1.26818429547646,"AV791T","tg/tg","12wk","tg/tg_12wk","Tumor","T","Tumor_12wk","12wk_tg/tg","12wk_T",12.1,3,"N","152a","N_tg/tg","f",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"12","Zotu12; Bacteroides","D29686_19-AV864",1.26481795088908,"AV864","fl/fl","5wk","fl/fl_5wk","Healthy","NT","Healthy_5wk","5wk_fl/fl","5wk_NT",5,0,"S","160","S_fl/fl","m",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Zotu12","Zotu12; Bacteroides"
"13","Zotu23; LachnospiraceaeNK4A136group","D29683_16-AV816",1.22023691612852,"AV816","fl/fl","5wk","fl/fl_5wk","Healthy","NT","Healthy_5wk","5wk_fl/fl","5wk_NT",5,0,"Q","159","Q_fl/fl","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"14","Zotu23; LachnospiraceaeNK4A136group","D29749_82-AV579",1.13315083247319,"AV579","tg/wt","12wk","tg/wt_12wk","Healthy","NT","Healthy_12wk","12wk_tg/wt","12wk_NT",12,0,"F","141","F_tg/wt","f",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"15","Zotu23; LachnospiraceaeNK4A136group","D29684_17-AV817",1.11547125935615,"AV817","tg/tg","5wk","tg/tg_5wk","Healthy","NT","Healthy_5wk","5wk_tg/tg","5wk_NT",5,0,"Q","159","Q_tg/tg","m",5.425372628,25.42287977,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"16","Zotu23; LachnospiraceaeNK4A136group","D29740_73-AV791TA",1.09840408347871,"AV791TA","tg/tg","12wk","tg/tg_12wk","Tumor_adjacent","T","Tumor_adjacent_12wk","12wk_tg/tg","12wk_T",12.1,3,"N","152a","N_tg/tg","f",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"17","Zotu23; LachnospiraceaeNK4A136group","D29734_67-AV770T",1.0443864229765,"AV770T","tg/tg","12wk","tg/tg_12wk","Tumor","T","Tumor_12wk","12wk_tg/tg","12wk_T",12.1,1,"L","147a","L_tg/tg","f",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
"18","Zotu49; LachnospiraceaeNK4A136group","D29750_83-AV814",0.976219609512156,"AV814","tg/wt","12wk","tg/wt_12wk","Healthy","NT","Healthy_12wk","12wk_tg/wt","12wk_NT",12.3,0,"P","157","P_tg/wt","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu49","Zotu49; LachnospiraceaeNK4A136group"
"19","Zotu86; Butyricicoccus","D29752_85-AV865",0.967947122431483,"AV865","fl/fl","5wk","fl/fl_5wk","Healthy","NT","Healthy_5wk","5wk_fl/fl","5wk_NT",5,0,"S","160","S_fl/fl","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","Zotu86","Zotu86; Butyricicoccus"
"20","Zotu23; LachnospiraceaeNK4A136group","D29678_11-AV588",0.948437555296033,"AV588","tg/wt","5wk","tg/wt_5wk","Healthy","NT","Healthy_5wk","5wk_tg/wt","5wk_NT",4.9,0,"G","140","G_tg/wt","m",2.744206198,20.93805541,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu23","Zotu23; LachnospiraceaeNK4A136group"
