#OTUId	01.AV555	02.AV604	03.AV612	04.AV650	05.AV717	06.AV718	07.AV770	08.AV782.2	09.AV791	10.AV794	11.AV833	12.AV967	13.AV968	14.AV971	15.AV972	16.AV974	17.AV996	18.AV551	19.AV572	20.AV580	21.AV586	22.AV589	23.AV590	24.AV591	25.AV598	26.AV608	27.AV609	28.AV610	29.AV611	30.AV802	31.AV521	32.AV527	33.AV541	34.AV542	35.AV543	36.AV567	37.AV568	38.AV570	39.AV571	40.AV579	41.AV803	42.AV814	43.AV583	44.AV584	45.AV587	46.AV588	47.AV596	48.AV597	49.AV816	50.AV817	51.AV863	52.AV864	53.AV865	54.AV866	taxonomy
ASV_74	273	367	733	185	291	521	56	41	94	40	784	2	30	273	630	50	2	114	278	119	365	402	296	179	157	159	416	512	216	229	0	131	313	232	135	130	173	132	300	80	250	284	47	92	295	256	179	151	0	55	56	16	189	81	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
ASV_922	69	33	123	62	59	205	46	43	2	0	98	0	0	2	24	2	2	5	81	16	74	39	55	7	22	0	30	81	92	57	54	6	53	10	32	17	25	3	102	1	34	29	1	2	10	14	44	43	0	0	0	0	0	1	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_315	100	105	255	62	77	161	20	19	25	13	241	2	13	89	162	13	0	33	75	25	111	125	101	45	57	42	109	151	54	73	0	52	102	66	35	32	39	35	68	14	83	90	9	26	116	67	50	61	0	16	17	6	70	23	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
ASV_302	1	49	67	178	64	52	91	99	8	0	22	4	1	11	197	75	3	10	95	109	98	79	95	53	75	1	61	92	67	109	80	68	206	112	132	76	68	72	79	45	43	17	0	11	50	48	42	71	25	6	43	16	46	26	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_2	9	280	273	817	323	267	419	475	28	3	144	8	1	27	1092	296	19	60	529	399	371	346	465	241	335	0	277	425	304	428	293	302	963	431	491	297	314	255	416	153	225	102	2	50	231	208	193	325	87	17	244	73	236	134	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_1000	65	30	88	65	56	124	44	25	2	0	100	0	2	0	18	1	1	7	88	20	75	16	44	7	33	1	21	96	70	53	33	8	60	7	25	21	29	3	83	0	23	14	0	0	8	15	38	33	0	1	0	1	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_175	266	64	472	202	202	441	27	145	34	15	521	1	23	36	289	42	6	413	24	76	237	227	188	93	126	9	85	98	36	154	63	46	255	33	54	131	52	29	77	89	332	135	0	130	197	343	403	272	6	3	0	0	128	17	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;
ASV_374	154	245	18	9	26	11	104	37	47	23	301	122	185	0	58	171	123	197	67	40	119	111	212	43	23	80	214	300	172	153	89	50	69	94	31	13	86	63	103	17	112	150	44	17	60	270	159	156	34	208	84	11	59	42	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Clostridium IV;
ASV_10	31	24	1	51	100	27	576	78	20	11	342	237	187	11	56	506	1005	2	298	848	230	17	19	11	485	38	247	257	18	29	406	459	361	918	373	125	281	213	194	1448	74	313	775	657	375	196	279	242	22	9	96	719	151	35	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_78	3	85	94	237	99	84	138	139	11	0	55	0	0	12	346	103	13	18	173	158	97	108	147	70	108	0	86	161	105	159	106	137	296	135	168	116	105	66	143	66	64	42	2	17	85	76	81	82	18	5	86	29	76	41	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_68	16	4	0	33	48	4	165	25	11	3	129	74	49	11	16	175	324	0	97	272	96	11	4	5	205	21	63	94	7	14	143	142	111	290	135	53	109	69	76	447	21	106	223	197	109	68	115	115	5	6	51	255	58	7	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
ASV_40	3	108	145	332	141	100	154	136	12	2	64	0	0	15	349	113	12	20	172	145	124	156	149	76	103	0	88	169	128	178	117	87	364	149	183	126	98	75	158	55	84	49	0	18	74	70	83	127	18	5	110	30	79	48	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
